"open_time","open","high","low","close","volume","close_time"
"2025/12/10 3:00:00","440.76","446.62","440.28","442.85","107938.063","2025/12/10 3:59:59"
"2025/12/10 4:00:00","442.86","443.63","436.81","440.24","78862.995","2025/12/10 4:59:59"
"2025/12/10 5:00:00","440.23","448","437.78","446.26","130441.147","2025/12/10 5:59:59"
"2025/12/10 6:00:00","446.26","446.3","437.22","438.75","100748.502","2025/12/10 6:59:59"
"2025/12/10 7:00:00","438.75","442.8","437.9","440.47","78165.917","2025/12/10 7:59:59"
"2025/12/10 8:00:00","440.47","442","433.82","437.07","109169.91","2025/12/10 8:59:59"
"2025/12/10 9:00:00","437.07","438","433.04","434.51","77232.646","2025/12/10 9:59:59"
"2025/12/10 10:00:00","434.5","436.01","426.38","427.57","156426.199","2025/12/10 10:59:59"
"2025/12/10 11:00:00","427.57","432.86","426.03","427.43","145188.148","2025/12/10 11:59:59"
"2025/12/10 12:00:00","427.4","432.38","426.81","429.16","78435.083","2025/12/10 12:59:59"
"2025/12/10 13:00:00","429.16","436.79","423.71","432.32","163955.073","2025/12/10 13:59:59"
"2025/12/10 14:00:00","432.32","434.43","427.09","430.06","96349.651","2025/12/10 14:59:59"
"2025/12/10 15:00:00","430.07","436.66","421.43","428.11","165102.99","2025/12/10 15:59:59"
"2025/12/10 16:00:00","428.11","439.8","425.71","436.92","154512.045","2025/12/10 16:59:59"
"2025/12/10 17:00:00","436.92","439.51","431.46","433.82","108341.044","2025/12/10 17:59:59"
"2025/12/10 18:00:00","433.82","436.5","426","433","132658.957","2025/12/10 18:59:59"
"2025/12/10 19:00:00","433.01","438.72","419.04","427.68","215596.518","2025/12/10 19:59:59"
"2025/12/10 20:00:00","427.71","428.81","400","403.37","515880.11","2025/12/10 20:59:59"
"2025/12/10 21:00:00","403.36","410.5","402.38","405.27","141501.517","2025/12/10 21:59:59"
"2025/12/10 22:00:00","405.24","407.52","396.2","400.06","144330.273","2025/12/10 22:59:59"
"2025/12/10 23:00:00","400.06","405.93","399.5","404.35","87128.701","2025/12/10 23:59:59"
"2025/12/11 0:00:00","404.35","405.64","392.34","394.4","159262.534","2025/12/11 0:59:59"
"2025/12/11 1:00:00","394.4","398.48","390.01","394.24","147309.34","2025/12/11 1:59:59"
"2025/12/11 2:00:00","394.24","403","390.68","401.22","194507.59","2025/12/11 2:59:59"
"2025/12/11 3:00:00","401.22","404.64","394.58","397.13","176253.576","2025/12/11 3:59:59"
"2025/12/11 4:00:00","397.14","408.97","396.03","408.97","155738.918","2025/12/11 4:59:59"
"2025/12/11 5:00:00","408.97","409.78","404.48","406.34","69181.632","2025/12/11 5:59:59"
"2025/12/11 6:00:00","406.35","419.93","405.99","415.38","201348.647","2025/12/11 6:59:59"
"2025/12/11 7:00:00","415.39","421.65","415.05","419.54","106538.116","2025/12/11 7:59:59"
"2025/12/11 8:00:00","419.53","422.72","410.95","412.38","156902.758","2025/12/11 8:59:59"
"2025/12/11 9:00:00","412.4","420.75","411.6","416.07","125179.999","2025/12/11 9:59:59"
"2025/12/11 10:00:00","416.1","421.5","414.39","418.96","110372.567","2025/12/11 10:59:59"
"2025/12/11 11:00:00","418.96","437.34","418.96","432.29","247806.08","2025/12/11 11:59:59"
"2025/12/11 12:00:00","432.38","457.95","430.64","446.68","474662.844","2025/12/11 12:59:59"
"2025/12/11 13:00:00","446.65","451.5","438.56","442.74","249379.634","2025/12/11 13:59:59"
"2025/12/11 14:00:00","442.75","450","437","445.35","180449.932","2025/12/11 14:59:59"
"2025/12/11 15:00:00","445.36","454.7","440.45","448.7","180782.297","2025/12/11 15:59:59"
"2025/12/11 16:00:00","448.8","449.39","440.51","445.05","141873.117","2025/12/11 16:59:59"
"2025/12/11 17:00:00","445.05","454.12","443.03","448.25","128882.634","2025/12/11 17:59:59"
"2025/12/11 18:00:00","448.24","468.63","446.53","463.65","262778.265","2025/12/11 18:59:59"
