pair,open_date,close_date,side,entry_tag,profit_abs,profit_ratio,duration,open_rate,close_rate,is_short,stake_amount,max_open_trades_config
LINK/USDT:USDT,2026-02-19 14:00:00+00:00,2026-02-20 15:00:00+00:00,short,short_compression_breakdown,-11.68972501,-0.04489717551823832,1500,8.395,8.763,True,260.49685,4
ADA/USDT:USDT,2026-02-22 13:00:00+00:00,2026-02-25 13:00:00+00:00,short,short_compression_breakdown,-11.10109291,-0.02649432497937556,4320,0.2731,0.28,True,419.2085,4
XRP/USDT:USDT,2026-02-22 13:00:00+00:00,2026-02-25 14:00:00+00:00,short,short_pullback_restart,-2.57673145,-0.004873171169856539,4380,1.4081,1.4126,True,529.02317,4
TAO/USDT:USDT,2026-02-22 13:00:00+00:00,2026-02-25 14:00:00+00:00,short,short_compression_breakdown,-7.83919772,-0.028906466464474923,4380,175.05,179.76,True,271.3275,4
SUI/USDT:USDT,2026-02-22 13:00:00+00:00,2026-02-25 15:00:00+00:00,short,short_compression_breakdown,-4.35398889,-0.014913684278610166,4440,0.9261,0.9386,True,292.09194,4
ZEC/USDT:USDT,2026-03-06 13:00:00+00:00,2026-03-07 22:00:00+00:00,short,short_compression_breakdown,27.26607003,0.10000299823373499,1980,221.24,198.81,True,272.78892,4
SOL/USDT:USDT,2026-03-07 20:00:00+00:00,2026-03-09 13:00:00+00:00,short,short_compression_breakdown,-11.71248045,-0.03236723237195635,2460,82.47,85.0,True,362.0433,4
BNB/USDT:USDT,2026-03-22 00:00:00+00:00,2026-03-23 11:00:00+00:00,short,short_pullback_restart,-11.67034841,-0.027242796974062424,2100,630.29,646.74,True,428.5972,4
LINK/USDT:USDT,2026-03-22 00:00:00+00:00,2026-03-23 11:00:00+00:00,short,short_pullback_restart,-11.50461365,-0.03826380708032342,2100,8.819,9.149,True,300.81609,4
XRP/USDT:USDT,2026-03-22 00:00:00+00:00,2026-03-23 14:00:00+00:00,short,short_pullback_restart,-11.68761084,-0.029016151904552808,2280,1.4081,1.4474,True,402.99822,4
