strategy_label,rule,terms,selected,coverage,hit_rate_reach10,lift_vs_base,selected_avg_final_profit,base_avg_final_profit,proxy_full_profit_from_reach5
Baseline,pair_4h_ema50_slope_3 <= -0.01 AND pair_4h_close_vs_ema50 <= 0.0,2,11,0.2682926829268293,0.6363636363636364,0.17294900221729487,0.06786599091388887,0.055243053880348544,0.05479331463543359
Baseline,pair_4h_ema50_slope_3 <= -0.01 AND pair_1h_ret_6h <= -0.02,2,11,0.2682926829268293,0.6363636363636364,0.17294900221729487,0.06786599091388887,0.055243053880348544,0.05479331463543359
Baseline,pair_4h_ema50_slope_3 <= -0.01 AND pair_1h_ret_6h <= -0.015,2,11,0.2682926829268293,0.6363636363636364,0.17294900221729487,0.06786599091388887,0.055243053880348544,0.05479331463543359
Baseline,pair_4h_ema50_slope_3 <= -0.01 AND pair_1h_ret_6h <= -0.01,2,11,0.2682926829268293,0.6363636363636364,0.17294900221729487,0.06786599091388887,0.055243053880348544,0.05479331463543359
Baseline,pair_4h_ema50_slope_3 <= -0.01 AND pair_1h_ret_6h <= -0.005,2,11,0.2682926829268293,0.6363636363636364,0.17294900221729487,0.06786599091388887,0.055243053880348544,0.05479331463543359
Baseline,pair_4h_ema50_slope_3 <= -0.01 AND pair_1h_range_position_24h <= 0.5,2,11,0.2682926829268293,0.6363636363636364,0.17294900221729487,0.06786599091388887,0.055243053880348544,0.05479331463543359
Baseline,pair_4h_ema50_slope_3 <= -0.01 AND btc_4h_trend_down == 1,2,9,0.21951219512195122,0.6666666666666666,0.20325203252032514,0.07182363489697863,0.055243053880348544,0.0547905540017758
Baseline,pair_4h_ema50_slope_3 <= -0.01 AND btc_1d_close_vs_ema50 <= -0.02,2,9,0.21951219512195122,0.6666666666666666,0.20325203252032514,0.07182363489697863,0.055243053880348544,0.0547905540017758
Baseline,pair_4h_ema50_slope_3 <= -0.01 AND btc_1d_close_vs_ema50 <= -0.01,2,9,0.21951219512195122,0.6666666666666666,0.20325203252032514,0.07182363489697863,0.055243053880348544,0.0547905540017758
Baseline,pair_4h_ema50_slope_3 <= -0.01 AND btc_1d_close_vs_ema50 <= 0.0,2,9,0.21951219512195122,0.6666666666666666,0.20325203252032514,0.07182363489697863,0.055243053880348544,0.0547905540017758
Baseline,adverse_before_5pct <= 0.01 AND hours_to_5pct <= 28,2,20,0.4878048780487805,0.6,0.1365853658536585,0.05981679055858916,0.055243053880348544,0.05478867832126301
Baseline,pair_4h_ema50_slope_3 <= -0.01 AND btc_1d_close_vs_ema50 <= -0.03,2,8,0.1951219512195122,0.75,0.2865853658536585,0.0745268791718523,0.055243053880348544,0.05478573252133704
Baseline,pair_1h_range_position_24h <= 0.3 AND btc_1d_close_vs_ema50 <= -0.01,2,26,0.6341463414634146,0.4230769230769231,-0.040337711069418414,0.056339559664607436,0.055243053880348544,0.054020208567799835
Baseline,pair_1h_range_position_24h <= 0.3 AND btc_1d_close_vs_ema50 <= 0.0,2,28,0.6829268292682927,0.42857142857142855,-0.03484320557491294,0.055886672864896805,0.055243053880348544,0.05402016683456367
Baseline,pair_1h_ret_6h <= -0.015 AND btc_1d_close_vs_ema50 <= -0.02,2,27,0.6585365853658537,0.4444444444444444,-0.018970189701897067,0.05607726397634302,0.055243053880348544,0.05400210066734784
Baseline,pair_1h_ret_6h <= -0.015 AND btc_1d_close_vs_ema50 <= -0.03,2,24,0.5853658536585366,0.4583333333333333,-0.005081300813008172,0.05681515096488269,0.055243053880348544,0.053989356662370355
Baseline,pair_4h_ema50_slope_3 <= -0.005 AND btc_1d_close_vs_ema50 <= -0.03,2,26,0.6341463414634146,0.46153846153846156,-0.0018761726078799223,0.056239047118633936,0.055243053880348544,0.053956468904499566
Baseline,pair_1h_range_position_24h <= 0.2 AND btc_1d_close_vs_ema50 <= 0.0,2,21,0.5121951219512195,0.42857142857142855,-0.03484320557491294,0.05771359614781381,0.055243053880348544,0.05395086631961195
Baseline,adverse_before_5pct <= 0.016 AND pair_1h_ret_6h <= -0.015,2,28,0.6829268292682927,0.5357142857142857,0.07229965156794421,0.055618279663268676,0.055243053880348544,0.053836873916378605
Baseline,pair_1h_ret_6h <= -0.015 AND btc_4h_trend_down == 1,2,28,0.6829268292682927,0.4642857142857143,0.0008710801393728151,0.05560415937463873,0.055243053880348544,0.053827230792436204
