pair,open_date,close_date,profit_pct,profit_abs,exit_reason,mfe_pct,mae_pct,touched_5pct,hours_to_5pct,reached_10pct,hours_open_to_close,post5_extra_mfe_pct,post5_retrace_to_be,post5_retrace_to_lock1,post5_retrace_to_lock2,post5_retrace_to_lock3,post5_retrace_to_lock4,sim_be,sim_lock1,sim_lock2,sim_lock3,sim_lock4
ETH/USDT:USDT,2024-05-10 15:00:00+00:00,2024-05-13 15:05:00+00:00,-0.5469551284532275,-1.36364353,stale_loss_72h,2.412262019566616,2.107619803788601,False,,False,,,,,,,,,,,,
XRP/USDT:USDT,2024-05-10 15:00:00+00:00,2024-05-13 15:05:00+00:00,-1.4229618662274515,-3.82311542,stale_loss_72h,2.8188724510195926,2.0391843262694898,False,,False,,,,,,,,,,,,
SUI/USDT:USDT,2024-05-13 02:00:00+00:00,2024-05-14 17:25:00+00:00,10.001956993125006,10.89216943,roi,10.217873713939877,0.857373411337509,True,1.1666666666666667,True,39.416666666666664,5.217873713939877,True,True,True,True,True,stop_first,stop_first,stop_first,stop_first,stop_first
TRX/USDT:USDT,2024-05-30 03:00:00+00:00,2024-05-31 05:10:00+00:00,-1.2302516843178828,-5.9377589,stop_loss,0.6020307305238601,1.4286997933327292,False,,False,,,,,,,,,,,,
SUI/USDT:USDT,2024-06-02 10:00:00+00:00,2024-06-02 14:50:00+00:00,-2.247737473640914,-10.80215765,stop_loss,0.3658295432074388,2.155428119438384,False,,False,,,,,,,,,,,,
ADA/USDT:USDT,2024-06-10 07:00:00+00:00,2024-06-10 09:55:00+00:00,-2.0555274185887673,-10.06055609,stop_loss,0.7077625570776237,2.6027397260274023,False,,False,,,,,,,,,,,,
TAO/USDT:USDT,2024-06-10 05:00:00+00:00,2024-06-11 15:40:00+00:00,10.000405157706865,29.8621499,roi,10.194990754748694,0.8320726172466036,True,2.75,True,34.666666666666664,5.194990754748683,True,True,True,True,True,stop_first,stop_first,stop_first,stop_first,stop_first
DOGE/USDT:USDT,2024-06-14 16:00:00+00:00,2024-06-18 00:45:00+00:00,10.003048296137615,34.53161787,roi,10.18797531927105,0.16501650165017073,True,0.08333333333333333,True,80.75,5.1879753192710485,False,True,True,True,True,reach10_first,stop_first,stop_first,stop_first,stop_first
DOGE/USDT:USDT,2024-06-19 15:00:00+00:00,2024-06-20 11:05:00+00:00,-4.324826870368081,-11.04179334,stop_loss,0.4102732419791585,5.620743415114462,False,,False,,,,,,,,,,,,
TAO/USDT:USDT,2024-06-22 20:00:00+00:00,2024-06-23 04:00:00+00:00,-3.3857752672662493,-10.82403453,stop_loss,0.5433804742883842,3.407823239411288,False,,False,,,,,,,,,,,,
ADA/USDT:USDT,2024-06-21 14:00:00+00:00,2024-06-23 09:15:00+00:00,-3.690710033534963,-10.88443052,stop_loss,1.7734250926416197,3.8644785600847014,False,,False,,,,,,,,,,,,
TAO/USDT:USDT,2024-06-27 06:00:00+00:00,2024-06-27 12:30:00+00:00,-4.424872757661072,-8.08924917,stop_loss,0.42062911485002835,4.480614484272129,False,,False,,,,,,,,,,,,
XRP/USDT:USDT,2024-06-26 11:00:00+00:00,2024-06-28 07:50:00+00:00,-1.6693072744120339,-8.10054803,stop_loss,1.4012738853503175,1.783439490445864,False,,False,,,,,,,,,,,,
SUI/USDT:USDT,2024-06-29 23:00:00+00:00,2024-06-30 13:55:00+00:00,-2.9192905270947147,-10.48525737,stop_loss,1.3794865244603438,2.8356111891684757,False,,False,,,,,,,,,,,,
XRP/USDT:USDT,2024-06-29 23:00:00+00:00,2024-06-30 22:25:00+00:00,-1.1781398297108203,-5.60742948,stop_loss,0.46620046620046196,1.1019283746556554,False,,False,,,,,,,,,,,,
ADA/USDT:USDT,2024-07-07 14:00:00+00:00,2024-07-08 08:50:00+00:00,-4.562781448743249,-10.5722014,stop_loss,7.441729851165409,4.605447907891033,True,10.75,False,18.833333333333332,2.441729851165405,True,True,True,True,True,stop_first,stop_first,stop_first,stop_first,stop_first
ETH/USDT:USDT,2024-07-07 08:00:00+00:00,2024-07-08 09:00:00+00:00,-2.7930294716679063,-10.64668678,stop_loss,6.051322353129218,3.16419023769722,True,17.083333333333332,False,25.0,1.051322353129207,True,True,True,True,True,stop_first,stop_first,stop_first,stop_first,stop_first
DOGE/USDT:USDT,2024-07-10 01:00:00+00:00,2024-07-10 04:25:00+00:00,-3.3577160227246168,-10.5415688,stop_loss,0.3490236770115983,3.527969059522693,False,,False,,,,,,,,,,,,
