rule,terms,selected,coverage,hit_rate_reach10,lift_vs_base,selected_avg_final_profit,rejected_avg_final_profit,base_avg_final_profit,proxy_full_profit_from_reach5,proxy_half_profit_from_reach5
node_close_profit >= 0.048 AND node_close_vs_ema20 <= -0.015,2,42,0.34710743801652894,0.7380952380952381,0.052144824872097595,0.07228168010824404,0.06459248907590637,0.06726146447556075,0.057734136897076446,0.05386706844853822
hours_to_5pct <= 12 AND node_body_ratio >= 0.5,2,26,0.21487603305785125,0.8846153846153846,0.19866497139224404,0.08553579820037159,0.06226006787719148,0.06726146447556075,0.05763579134884017,0.05381789567442009
hours_to_5pct <= 12 AND node_close_vs_ema20 <= -0.015,2,24,0.19834710743801653,0.9166666666666666,0.2307162534435261,0.08846507249294143,0.062015210945487204,0.06726146447556075,0.057629435866368546,0.05381471793318428
hours_to_5pct <= 12 AND node_ret_3h <= -0.03,2,24,0.19834710743801653,0.9166666666666666,0.2307162534435261,0.08846462224103961,0.062015322348019604,0.06726146447556075,0.057629346560206206,0.0538146732801031
hours_to_5pct <= 20 AND node_close_profit >= 0.047,2,48,0.39669421487603307,0.7291666666666666,0.04321625344352609,0.06922047851679938,0.0659733456539244,0.06726146447556075,0.0576246526347634,0.053812326317381705
hours_to_5pct <= 16 AND node_close_profit >= 0.048,2,37,0.30578512396694213,0.7837837837837838,0.09783337056064323,0.07478633353762175,0.06394693881727198,0.06726146447556075,0.057579292073487644,0.05378964603674382
hours_to_5pct <= 16 AND node_body_ratio >= 0.5,2,37,0.30578512396694213,0.7837837837837838,0.09783337056064323,0.07461763833799176,0.06402124503615662,0.06726146447556075,0.05752770759095616,0.053763853795478087
hours_to_5pct <= 16 AND node_ret_3h <= -0.02,2,39,0.32231404958677684,0.7692307692307693,0.08328035600762873,0.07334542433556727,0.06436787381043571,0.06726146447556075,0.057524558256918386,0.05376227912845919
adverse_before_5pct <= 0.01 AND node_close_position <= 0.4,2,39,0.32231404958677684,0.7435897435897436,0.05763933036660307,0.07331133384706044,0.06438408757935969,0.06726146447556075,0.057513570413515354,0.05375678520675768
hours_to_5pct <= 20 AND node_close_vs_ema20 <= -0.015,2,37,0.30578512396694213,0.7837837837837838,0.09783337056064323,0.07425109971829155,0.06418269657102456,0.06726146447556075,0.057415625533692456,0.05370781276684624
adverse_before_5pct <= 0.01 AND node_close_position <= 0.25,2,28,0.23140495867768596,0.8214285714285714,0.13547815820543085,0.08156497711448309,0.06295503056276694,0.06726146447556075,0.05730429222483907,0.05365214611241954
hours_to_5pct <= 14 AND node_body_ratio >= 0.5,2,34,0.2809917355371901,0.7941176470588235,0.10816723383568294,0.07596152152385147,0.06386144218082646,0.06726146447556075,0.05729497299017314,0.05364748649508658
adverse_before_5pct <= 0.01 AND node_close_position <= 0.3,2,30,0.24793388429752067,0.8,0.1140495867768595,0.07939680562138274,0.06326080255935572,0.06726146447556075,0.057288464203648616,0.05364423210182431
hours_to_5pct <= 16 AND node_close_vs_ema20 <= -0.015,2,34,0.2809917355371901,0.7941176470588235,0.10816723383568294,0.07574001071760823,0.06394800962234681,0.06726146447556075,0.05723273028428661,0.05361636514214331
adverse_before_5pct <= 0.01 AND node_close_position <= 0.35,2,32,0.2644628099173554,0.78125,0.09529958677685946,0.07728871165958773,0.06365616211725893,0.06726146447556075,0.05721684936451907,0.053608424682259535
hours_to_5pct <= 20 AND node_body_ratio >= 0.5,2,41,0.33884297520661155,0.7560975609756098,0.07014714775246922,0.07128639917141248,0.06519868544393674,0.06726146447556075,0.05721274682667696,0.05360637341333848
hours_to_5pct <= 18 AND node_ret_3h <= -0.02,2,43,0.35537190082644626,0.7441860465116279,0.058235633288487354,0.07028535161778526,0.0655944497689498,0.06726146447556075,0.05720884396334518,0.0536044219816726
hours_to_5pct <= 20 AND node_ret_3h <= -0.02,2,43,0.35537190082644626,0.7441860465116279,0.058235633288487354,0.07028535161778526,0.0655944497689498,0.06726146447556075,0.05720884396334518,0.0536044219816726
node_close_profit >= 0.047 AND node_ret_3h <= -0.03,2,49,0.4049586776859504,0.6938775510204082,0.007927137797267614,0.06780033152670446,0.06689473551019907,0.06726146447556075,0.05720839871742578,0.05360419935871289
adverse_before_5pct <= 0.0075 AND hours_to_5pct <= 14,2,31,0.256198347107438,0.8064516129032258,0.12050119968008521,0.07793135191910217,0.06358628102278538,0.06726146447556075,0.05715596619415014,0.05357798309707508
adverse_before_5pct <= 0.01 AND node_ret_3h <= -0.03,2,31,0.256198347107438,0.8064516129032258,0.12050119968008521,0.07784055120437038,0.06361755682452633,0.06726146447556075,0.05713270320111968,0.05356635160055984
hours_to_5pct <= 14 AND node_ret_3h <= -0.02,2,38,0.3140495867768595,0.7631578947368421,0.0772074815137016,0.07264394863207843,0.06479719462076952,0.06726146447556075,0.05711132271090067,0.05355566135545035
hours_to_5pct <= 18 AND node_close_vs_ema20 <= -0.015,2,36,0.2975206611570248,0.7777777777777778,0.09182736455463725,0.07353414697120687,0.06460479894799298,0.06726146447556075,0.057001894966640064,0.05350094748332004
hours_to_5pct <= 14 AND node_close_profit >= 0.048,2,33,0.2727272727272727,0.7878787878787878,0.1019283746556473,0.07542218039785202,0.06420119600470153,0.06726146447556075,0.05693332192668691,0.05346666096334346
hours_to_5pct <= 14 AND node_close_vs_ema20 <= -0.015,2,33,0.2727272727272727,0.7878787878787878,0.1019283746556473,0.0750048140403193,0.0643577083887763,0.06726146447556075,0.0568194947382689,0.05340974736913445
node_close_profit >= 0.048 AND node_ret_3h <= -0.03,2,44,0.36363636363636365,0.7045454545454546,0.018595041322314043,0.06870278245602175,0.06643785420101161,0.06726146447556075,0.05680101180218972,0.053400505901094866
hours_to_5pct <= 18 AND node_body_ratio >= 0.5,2,40,0.3305785123966942,0.75,0.06404958677685946,0.07056702418536429,0.06562908931022568,0.06726146447556075,0.05679901625962456,0.05339950812981228
hours_to_5pct <= 18 AND node_close_profit >= 0.048,2,42,0.34710743801652894,0.7380952380952381,0.052144824872097595,0.06957576309790221,0.06603107786621468,0.06726146447556075,0.05679489297613135,0.05339744648806567
hours_to_5pct <= 20 AND node_close_profit >= 0.048,2,42,0.34710743801652894,0.7380952380952381,0.052144824872097595,0.06957576309790221,0.06603107786621468,0.06726146447556075,0.05679489297613135,0.05339744648806567
node_close_profit >= 0.05 AND node_close_vs_ema20 <= -0.015,2,34,0.2809917355371901,0.7647058823529411,0.07875546912980058,0.07401921291883293,0.06462050531382221,0.06726146447556075,0.05674920032430016,0.053374600162150086
node_ret_3h <= -0.03 AND node_close_vs_ema20 <= -0.015,2,49,0.4049586776859504,0.6938775510204082,0.007927137797267614,0.0666263734962832,0.06769367916979131,0.06726146447556075,0.05673299422576758,0.05336649711288379
